ID_VIA_ORIGINE,DESCRIZIONE_ESTESA
490091320,"BORGO DEI CAPPUCCINI"
490093660,"BORGO SANT'JACOPO"
490096481,"CALA DELLO SCALO"
490090190,"CORSO AMEDEO"
490094550,"CORSO GIUSEPPE MAZZINI"
490092565,"ERTA VIA ERTA EGILORA"
490097505,"L.GO DELLE VITTIME DELLE FOIBE"
490092925,"LARGO ANNA FRANCHI"
490090740,"LARGO BELLAVISTA"
490090645,"LARGO CHRISTIAN BARTOLI"
490096172,"LARGO DEI RISICATORI"
490097180,"LARGO DEI VALDESI"
490091840,"LARGO DEL CISTERNINO"
490092530,"LARGO DEL DUOMO"
490092345,"LARGO DIVO DEMI"
490095067,"LARGO DON ALFREDO NESI"
490092580,"LARGO EM. FILIBERTO DI SAVOIA"
490092632,"LARGO EUROPA"
490096270,"LARGO FRATELLI ROSSELLI"
490094615,"LARGO GIGANTE"
490094640,"LARGO MERCATO ORTOFRUTTICOLO"
490100015,"LARGO NELLA VERA FUNARO"
490095575,"LARGO PETROLINI"
490095066,"LARGO TITO NERI"
490094460,"LARGO TOMMASO MASERA"
490097260,"LARGO VITTORIO VATURI"
490097503,"P.LE VITTIME DELLA MOBY PRINCE"
490094780,"P.ZZA GIUS.EMANUELE MODIGLIANI"
490093670,"P.ZZA SANT'JACOPO IN ACQUAVIVA"
490093885,"PIAZZA ALDO LI GOBBI"
490094935,"PIAZZA ALDO MORO"
490096560,"PIAZZA ALFREDO SFORZINI"
490096570,"PIAZZA ANDREA SGARALLINO"
490093110,"PIAZZA ANITA GARIBALDI"
490090395,"PIAZZA ATLETI AZZURRI D'ITALIA"
490090400,"PIAZZA ATTIAS"
490090600,"PIAZZA BARRIERA GARIBALDI"
490091620,"PIAZZA CAVOUR"
490091665,"PIAZZA CENTOTTANTACINQUE REGGIMENTO ART. FOLGORE"
490091970,"PIAZZA COLONNELLA"
490091740,"PIAZZA DAMIANO CHIESA"
490092230,"PIAZZA DANTE"
490092470,"PIAZZA DEI DOMENICANI"
490093820,"PIAZZA DEI LEGNAMI"
490094740,"PIAZZA DEI MILLE"
490091510,"PIAZZA DEL CASTELLO"
490091850,"PIAZZA DEL CISTERNONE"
490092775,"PIAZZA DEL FIORE"
490094040,"PIAZZA DEL LUOGO PIO"
490094635,"PIAZZA DEL MERCATINO"
490094980,"PIAZZA DEL MUNICIPIO"
490095360,"PIAZZA DEL PAMIGLIONE"
490095920,"PIAZZA DEL PORTUALE"
490090360,"PIAZZA DELL'ARSENALE"
490097170,"PIAZZA DELL'UNITA D'ITALIA"
490096100,"PIAZZA DELLA REPUBBLICA"
490096390,"PIAZZA DELLA SANITA'"
490097510,"PIAZZA DELLA VITTORIA"
490091420,"PIAZZA DELLE CARROZZE"
490092735,"PIAZZA DELLE FIAMME GIALLE"
490094900,"PIAZZA DI MONTENERO"
490092520,"PIAZZA DUE GIUGNO"
490090760,"PIAZZA ELIA BENAMOZEGH"
